campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Amistosos 1934 ,"18 de março de 1934, 16:00",Corinthians,5,0,Ramenzoni,"Fazendinha, São Paulo, SP."
Amistosos 1934 ,"11 de março de 1934, 16:00",XV de Jaú,0,3,Corinthians,"Zezinho Magalhães, Jaú, SP."
Amistosos 1934 ,"28 de janeiro de 1934, 16:00",Britânia de Sorocaba,0,5,Corinthians,"Velódromo de Sorocaba, Sorocaba, SP."
Amistosos 1934 ,"21 de janeiro de 1934, 16:00",São Paulo,5,2,Corinthians,"Estádio da Floresta, São Paulo, SP."
Amistosos 1934 ,"14 de janeiro de 1934, 16:00",Santos,3,4,Corinthians,"Vila Belmiro, Santos, SP."
Amistosos 1934 ,"07 de janeiro de 1934, 16:00",Clube Atlético Paulista,2,4,Corinthians,"Rua da Mooca, São Paulo, SP."
Torneio Rio-São Paulo 1933 ,"10 de dezembro de 1933, 16:00",Corinthians,4,3,Bangu,"Fazendinha, São Paulo, SP."
Torneio Rio-São Paulo 1933 ,"19 de novembro de 1933, 16:00",Corinthians,3,0,Bonsucesso,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"12 de novembro de 1933, 16:00",Corinthians,6,0,Sírio,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"01 de outubro de 1933, 16:00",Corinthians,1,0,Ypiranga,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"15 de setembro de 1933, 16:00",Corinthians,2,0,São Bento da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1933 ,"10 de setembro de 1933, 16:00",São Paulo,6,1,Corinthians,"Estádio da Floresta, São Paulo, SP."
Torneio Rio-São Paulo 1933 ,"03 de setembro de 1933, 16:00",Corinthians,2,1,Fluminense,"Fazendinha, São Paulo, SP."
Torneio Rio-São Paulo 1933 ,"20 de agosto de 1933, 16:00",Bangu,2,1,Corinthians,"Estádio das Laranjeiras, Rio de Janeiro, RJ."
Torneio Rio-São Paulo 1933 ,"13 de agosto de 1933, 16:00",Corinthians,3,0,América-RJ,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"30 de julho de 1933, 16:00",Portuguesa,0,1,Corinthians,"Rua Cesário Ramalho, São Paulo, SP."
Paulista 1933 ,"23 de julho de 1933, 16:00",Corinthians,2,4,São Paulo,"Fazendinha, São Paulo, SP."
Torneio Rio-São Paulo 1933 ,"02 de julho de 1933, 16:00",Corinthians,3,2,Vasco da Gama,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"25 de junho de 1933, 16:00",Corinthians,3,3,Santos,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"28 de maio de 1933, 16:00",Ypiranga,2,3,Corinthians,"Estádio Professor Nami Jafet, São Paulo, SP."
Paulista 1933 ,"21 de maio de 1933, 16:00",Corinthians 1,0,1,Sírio,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"14 de maio de 1933, 16:00",Corinthians,1,0,São Bento da Capital,"Fazendinha, São Paulo, SP."
Paulista 1933 ,"07 de maio de 1933, 16:00",Corinthians,1,5,Palmeiras,"Fazendinha, São Paulo, SP."
Amistosos 1933 ,"01 de maio de 1933, 16:00",Uberaba,1,3,Corinthians,"Boulanger Pucci, Uberaba, MG."
Amistosos 1933 ,"30 de abril de 1933, 16:00",Uberaba,0,3,Corinthians,"Boulanger Pucci, Uberaba, MG."
Amistosos 1933 ,"16 de abril de 1933, 16:00",Fluminense,4,4,Corinthians,"Estádio das Laranjeiras, Rio de Janeiro, RJ."
Amistosos 1933 ,"02 de abril de 1933, 16:00",São Paulo,4,2,Corinthians,"Estádio da Floresta, São Paulo, SP."
Amistosos 1933 ,"26 de março de 1933, 16:00",Jabaquara,1,2,Corinthians,"Antônio Alonso - Santos, Santos, SP."
Amistosos 1933 ,"19 de fevereiro de 1933, 16:00",Jabaquara,1,1,Corinthians,"Antônio Alonso - Santos, Santos, SP."
Amistosos 1933 ,"29 de janeiro de 1933, 16:00",Jabaquara,5,6,Corinthians,"Antônio Alonso - Santos, Santos, SP."
Amistosos 1933 ,"22 de janeiro de 1933, 16:00",Corinthians,4,2,Portuguesa,"Ponte Grande, São Paulo, SP."
Amistosos 1933 ,"07 de janeiro de 1933, 21:30",Corinthians,2,4,Seleção Acadêmica,"Estádio da Floresta, São Paulo, SP."
Amistosos 1932 ,"25 de dezembro de 1932, 16:00",Corinthians,5,1,Portuguesa,"Fazendinha, São Paulo, SP."
Amistosos 1932 ,"18 de dezembro de 1932, 16:00",Santos,3,5,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 1932 ,"11 de dezembro de 1932, 16:00",Corinthians,5,1,Pinheiros,"Fazendinha, São Paulo, SP."
